ds,url,dispute
2,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/2R.pdf&Open=True,US – Gasoline
7,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/7R.pdf&Open=True,EC – Scallops (Canada)
8,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/8R.pdf&Open=True,Japan – Alcoholic Beverages II
12,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/12R.pdf&Open=True,EC – Scallops (Peru and Chile)
18,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/WT/DS/18R-01.pdf&Open=True,Australia – Salmon
22,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/22R.pdf&Open=True,Brazil – Desiccated Coconut
24,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/24R.pdf&Open=True,US – Underwear
26,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/26RUSA.PDF&Open=True,EC – Hormones (US)
27,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/27RECU.pdf&Open=True,EC – Bananas III (Equador)
27,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/27RGTM.pdf&Open=True,EC – Bananas III (Guatemala and Honduras)
27,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/27RMEX.pdf&Open=True,EC – Bananas III (Mexico)
27,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/27RUSA.pdf&Open=True,EC – Bananas III (US)
31,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/31R.pdf&Open=True,Canada – Periodicals
33,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/33R.pdf&Open=True,US – Wool Shirts and Blouses
34,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/34R.pdf&Open=True,Turkey – Textiles
44,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/44R07.pdf&Open=True,Japan – Film
46,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/46R.pdf&Open=True,Brazil – Aircraft
48,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/48RCAN.PDF&Open=True,EC – Hormones (Canada)
