ds,url,dispute,PanelChair,Panelist2,Panelist3,LADO1,LADO2,LADO3,LADO4,LADO5
2,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/2R.pdf&Open=True,US – Gasoline,Joseph Wong,Crawford Falconer,Kim Luotonen,Peter Morrison,Mireille Cossy,NA,NA,NA
7,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/7R.pdf&Open=True,EC – Scallops (Canada),Michael Cartland,Peter Palecka,Barbara Rigassi,Jeffrey Gertler,Gabrielle Marceau,NA,NA,NA
8,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/8R.pdf&Open=True,Japan – Alcoholic Beverages II,Hardeep Puri,Luzius Wasescha,Hugh McPhail,Petros C. Mavroidis,Gabrielle Marceau,NA,NA,NA
12,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/12R.pdf&Open=True,EC – Scallops (Peru and Chile),Michael Cartland,Peter Palecka,Barbara Rigassi,Jeffrey Gertler,Gabrielle Marceau,NA,NA,NA
18,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/WT/DS/18R-01.pdf&Open=True,Australia – Salmon,Michael Cartland,Kari Bergholm,Claudia Orozco,Gretchen Stanton,Christiane Wolff,Joost Pauwelyn,Jeffrey Gertler,NA
22,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/22R.pdf&Open=True,Brazil – Desiccated Coconut,Maamoun Abdel-Fattah,Zdenek Jung,Joseph Weiler,Jesse Kreier,Judith Czako,NA,NA,NA
24,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/24R.pdf&Open=True,US – Underwear,Thomas Cottier,Martin Harvey,Johann Human,Petros C. Mavroidis,Richard Hughes,NA,NA,NA
26,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/26RUSA.PDF&Open=True,EC – Hormones (US),Thomas Cottier,Peter Palecka,Jun Yokota,Jeffrey Gertler,Joost Pauwelyn,Jo√£o Magalhaes,NA,NA
27,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/27RECU.pdf&Open=True,EC – Bananas III (Equador),Stuart Harbinson,Kym Anderson,Christian Häberli,Werner Zdouc,Christina Schroeder,NA,NA,NA
27,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/27RGTM.pdf&Open=True,EC – Bananas III (Guatemala and Honduras),Stuart Harbinson,Kym Anderson,Christian H√§berli,Werner Zdouc,Christina Schroeder,NA,NA,NA
